id,data_p,tipo,categ,valor,descricao
a10701,2021-07-05,FN,Assinatura_App,32.9,Pagto a NETFLIX SAO SP BRASIL
a10702,2021-07-05,FE,Tarifa bancaria,24.25,ANUIDADE DIFERENCIADA TIT-PARC 04/12 BR
a10703,2021-07-05,VN,Compra extra,25,LOJAS AMERICA PARC 07/12 RECIFE BR
a10704,2021-07-05,VN,Compra extra,74.74,Amazon-Market PARC 01/04 SAO PAULO BR
a10705,2021-07-05,VN,Compra extra,50.74,LOJAS AMERICA PARC 08/12 RECIFE BR
a10715,2021-07-01,VE,Padaria,24.52,Compra 01/07 15:30 ROSARINHO DELICATESS
a10716,2021-07-01,VN,Compra extra,7,Compra 01/07 13:28 MICROART TACARUNA
a10717,2021-07-01,VN,Restaurante,33.44,Compra 01/07 13:38 PAG*EduardoBaltar
a10718,2021-07-01,VE,Estacionamento,9.5,Compra 01/07 14:08 TACARUNA PARKING
a10720,2021-07-02,VE,Gasolina,100,Compra 02/07 14:50 POSTO BOM JESUS
a10721,2021-07-02,FE,Condominio,400,Pagto CONDOMINIO DO VALE JACARANDA
a10722,2021-07-02,FE,Convenio,45.8,Pagto ROSA MASTER LTDA
a10723,2021-07-02,FE,Condominio,149.66,Impostos PREFEITURA DA IDADE DO R
a10724,2021-07-02,FE,Internet fixa,79.9,Pagto EDUARDO DE ASTRO LIRA NETO EIRELI ME
a10725,2021-07-02,FE,Telefone movel,59.98,Pagto onta telefone VIVO PE
a10726,2021-07-02,FE,Telefone movel,74.99,Pagto onta telefone VIVO PE
a10727,2021-07-02,FE,Internet fixa,99.99,Pagto onta telefone VIVO FIXO/BRASIL
a10728,2021-07-05,VN,Restaurante,127.16,Compra 03/07 12:09 MANIA ASEIRA
a10729,2021-07-05,VN,Saques,100,Saque no TAA 03/07 09:59 SAA-GRAVATA
a10731,2021-07-05,FE,Condominio,330.44,Pagto APSA - ADMINISTRACAO PREDIAL E NEGOCIO
a10732,2021-07-05,VE,Energia_agua,52,Pagto APSA - ADMINISTRACAO PREDIAL E NEGOCIO
a10733,2021-07-05,FE,Tarifa bancaria,60,Tarifa Pacote de Serviços obrança
a10735,2021-07-07,VE,Energia_agua,229.98,Pagamento onta luz ELPE
a10736,2021-07-08,VE,Farmacia,132.16,Compra 08/07 13:33 DROGASIL3475
a10737,2021-07-08,VE,Supermercado,150.4,Compra 08/07 13:56 SUPERMERCADO REAL LT
a10738,2021-07-08,VN,Saques,150,Saque no TAA 08/07 14:05 SAA-GRAVATA
a10739,2021-07-08,FE,Condominio,275,Pagto ONDOMINIO DO EDIFICIO BELA VISTA
a10741,2021-07-12,VE,Gasolina,150.01,Compra 10/07 08:29 POSTO PETUR
a10742,2021-07-12,FE,Convenio,452.96,Pagto GEAP AUTOGESTAO EM SAUDE
a10743,2021-07-13,VE,Supermercado,149.44,Compra 13/07 10:20 SUPERMERCADO REAL LT
a10744,2021-07-15,VE,Supermercado,61.78,Compra 15/07 11:57 SUPERMERCADO SANTANA
a10745,2021-07-15,VN,Restaurante,132,Compra 15/07 12:45 HARQUE DA DONA NEUS
a10746,2021-07-16,VN,Restaurante,28.55,Compra 16/07 13:27 GORDO BEST GRILL RES
a10747,2021-07-16,VN,Compra extra,60,Compra 16/07 14:18 TRIBUUS D
a10748,2021-07-16,VN,Compra extra,30,Compra 16/07 14:45 LOBO FEROZ
a10749,2021-07-16,VN,Saques,150,Banco 24 Horas 16/07 15:46 PARQUE DAS FEIRAS
a10750,2021-07-16,FE,Condominio,150,Pagto ONDOMINIO DO VALE JACARANDA
a10751,2021-07-26,VN,Compra extra,40,Compra 25/07 18:41 MP *FLAVIOFLORES
a10752,2021-07-26,VE,Gasolina,150,Compra 26/07 13:18 AUTO POSTO BOA VISTA
a10753,2021-07-26,VE,Padaria,9.88,Compra 26/07 15:59 ROSARINHO DELICATESS
a10754,2021-07-28,VE,Farmacia,39,Compra 28/07 12:34 F M DE MIRANDA ONSU
a10755,2021-07-28,VN,Restaurante,70,Banco 24 Horas 28/07 13:22 SHOPPING ARPINA
a10756,2021-07-29,VN,Entretenimento,134,Compra 29/07 19:53 POUSADA SANTA RUZ
a10757,2021-07-29,VN,Restaurante,32.33,Compra 29/07 13:21 PAG*LelecosComidas
a10758,2021-07-29,VE,Estacionamento,9.5,Compra 29/07 14:04 RECIFE PARKING
a10759,2021-07-29,VN,Saques,300,Banco 24 Horas 29/07 15:00 BR MACRO ATMR III
a10760,2021-07-30,VN,Restaurante,45.32,Compra 30/07 13:22 BAR DO TOINHAO
a10801,2021-08-05,VN,Compra extra,118.8,Amazon-Marketplace SAO PAULO BRA
a10802,2021-08-05,FN,Assinatura_App,32.9,NETFLIX SAO PAULO BRA
a10803,2021-08-05,FE,Tarifa bancaria,24.25,ANUIDADE DIFERENCIADA TIT-PARC 05/12 BR
a10804,2021-08-05,VN,Compra extra,25,LOJAS AMERICA PARC 08/12 RECIFE BR
a10805,2021-08-05,VN,Compra extra,74.72,Amazon-Market PARC 02/04 SAO PAULO BR
a10806,2021-08-05,VE,Veiculares,296.54,AzulAUTO * PARC 01/04 RIO DE JANEIBR
a10807,2021-08-05,VN,Compra extra,50.74,LOJAS AMERICA PARC 09/12 RECIFE BR
a10817,2021-08-03,VE,Energia_agua,22.91,Pagamento conta luz CELPE
a10818,2021-08-03,VE,Energia_agua,202.74,Pagamento conta luz CELPE
a10819,2021-08-03,FE,Condominio,149.66,Impostos PREFEITURA DA CIDADE DO R
a10820,2021-08-03,FE,Convenio,45.8,Pagto ROSA MASTER LTDA
a10821,2021-08-03,FE,Condominio,150,Pagto CONDOMINIO DO VALE JACARANDA
a10822,2021-08-03,FE,Telefone movel,59.99,Pagto conta telefone VIVO PE
a10823,2021-08-03,FE,Telefone movel,74.99,Pagto conta telefone VIVO PE
a10824,2021-08-03,FE,Internet fixa,99.99,Pagto conta telefone VIVO FIXO/BRASIL
a10825,2021-08-03,FE,Internet fixa,79.9,Pagto EDUARDO DE CASTRO LIRA NETO EIRELI ME
a10826,2021-08-03,FE,Condominio,275,Pagto CONDOMINIO DO EDIFICIO BELA VISTA
a10827,2021-08-05,VE,Gasolina,130,Compra 05/08 11:06 ALBUQUERQUE PNEUS LT
a10828,2021-08-05,VN,Compra extra,2.7,Compra 05/08 11:15 CARMEL
a10829,2021-08-05,VN,Saques,300,Banco 24 Horas 05/08 12:12 SHOPPING CARPINA
a10830,2021-08-05,FE,Tarifa bancaria,60,Tarifa Pacote de Serviços Cobrança
a10831,2021-08-06,VN,Restaurante,43.09,Compra 06/08 12:58 TEMPERO DA FAZENDA
a10832,2021-08-06,VN,Compra extra,112.7,Compra 06/08 13:28 FERREIRA COSTA
a10833,2021-08-06,VE,Padaria,24.52,Compra 06/08 16:33 ROSARINHO DELICATESS
a10835,2021-08-09,VE,Supermercado,40.12,Compra 07/08 09:28 EXTRABOM SUPERMERCAD
a10836,2021-08-09,VE,Veiculares,130,Compra 07/08 11:04 BREMEN VEICULOS SA
a10837,2021-08-09,VE,Supermercado,38.28,Compra 07/08 11:57 EXTRABOM SUPERMERCAD
a10838,2021-08-09,VE,Supermercado,11.89,Compra 09/08 09:43 SUPERMERCADO GONZAGA
a10839,2021-08-09,VE,Farmacia,26.74,Compra 09/08 09:51 3162DROGASIL
a10840,2021-08-09,VE,Supermercado,56.59,Compra 07/08 16:28 EXTRAVERDE
a10841,2021-08-09,VE,Outros pagtos,150,Transferência enviada - ERICKSON MOURA
a10842,2021-08-10,VN,Compra extra,60,Compra 10/08 09:09 SOS ELETRODOMESTICOS
a10845,2021-08-12,VE,Gasolina,100.05,Compra 12/08 11:42 ALBUQUERQUE PNEUS LT
a10846,2021-08-12,VN,Saques,250,Saque no TAA 12/08 11:29 SAA-CARPINA
a10847,2021-08-13,VN,Restaurante,127.93,Compra 13/08 12:52 RETETEU COMIDA HONES
a10848,2021-08-13,VN,Restaurante,170,Compra 13/08 13:55 ALL PE ESPINHEIRO
a10849,2021-08-13,FE,Convenio,452.96,Pagto GEAP AUTOGESTAO EM SAUDE
a10850,2021-08-16,VN,Compra extra,45,Compra 16/08 09:33 PAG*DiogoBarreiroDeL
a10851,2021-08-16,VE,Supermercado,24.69,Compra 16/08 09:45 ROSARINHO HORTIFRUTI
a10852,2021-08-16,VE,Padaria,31,Compra 14/08 10:27 ALL PE ESPINHEIRO
a10853,2021-08-16,VE,Padaria,30.29,Compra 16/08 17:22 TRIGO CENTER DELICAT
a10854,2021-08-16,VE,Padaria,38.08,Compra 16/08 17:24 TRIGO CENTER DELICAT
a10855,2021-08-16,VE,Gasolina,150,Compra 15/08 14:29 POSTO NVC
a10856,2021-08-17,VE,Padaria,13.89,Compra 17/08 10:53 PADARIA E PASTELARIA
a10857,2021-08-17,VN,Restaurante,182.6,Compra 17/08 14:48 TIO ARMENIO PLAZA
a10858,2021-08-17,VE,Estacionamento,9.5,Compra 17/08 15:37 PLAZA CASA FORTE
a10859,2021-08-18,VE,Padaria,41.86,Compra 18/08 07:05 PADARIA E PASTELARIA
a10860,2021-08-18,VE,Padaria,16.9,Compra 18/08 10:25 BOBS
a10861,2021-08-18,VN,Compra extra,15.2,Compra 18/08 11:19 KALUNGA SHOPPING TAC
a10862,2021-08-18,VN,Compra extra,59.9,Compra 18/08 13:38 LOJAS RIACHUELO FILI
a10863,2021-08-18,VN,Restaurante,125.95,Compra 18/08 14:33 TAPA DE CUADRIL
a10864,2021-08-18,VE,Estacionamento,9.5,Compra 18/08 14:41 TACARUNA PARKING
a10865,2021-08-18,VN,Compra extra,71.79,Compra 18/08 15:40 FERREIRA COSTA
a10866,2021-08-18,VE,Padaria,29.01,Compra 18/08 17:10 TRIGO CENTER DELICAT
a10867,2021-08-19,VN,Compra extra,138.98,Compra 19/08 16:27 ETNA COMERCIO DE MOV
a10868,2021-08-23,VE,Padaria,13,Compra 21/08 09:49 ESTACAO EXPRESSO
a10869,2021-08-23,VE,Supermercado,143.49,Compra 21/08 10:33 SUPERMERCADO GONZAGA
a10870,2021-08-23,VE,Farmacia,42,Compra 23/08 11:48 F M DE MIRANDA CONSU
a10872,2021-08-24,VN,Compra extra,119.31,Compra 24/08 08:26 CARMEL
a10873,2021-08-24,VN,Compra extra,69.65,Compra 24/08 08:41 CARMEL
a10874,2021-08-24,VE,Gasolina,150,Compra 24/08 08:51 ALBUQUERQUE PNEUS LT
a10875,2021-08-26,VE,Padaria,27.49,Compra 26/08 07:33 TRIGO CENTER DELICAT
a10876,2021-08-26,VE,Supermercado,62.58,Compra 26/08 09:47 EXTRABOM SUPERMERCAD
a10877,2021-08-26,VE,Energia_agua,235,Compra 26/08 11:00 CAMPEAO GAS
a10878,2021-08-26,VE,Energia_agua,95,Compra 26/08 11:01 CAMPEAO GAS
a10879,2021-08-26,VE,Estacionamento,9.5,Compra 26/08 12:11 CANAL DA CONSTRUCAO
a10880,2021-08-27,VE,Estacionamento,7,Compra 27/08 10:57 RECPARK ESTACIONAMEN
a10881,2021-08-27,VE,Farmacia,119.5,Compra 27/08 10:02 MEDICAL
a10882,2021-08-30,VE,Gasolina,150,Compra 29/08 09:29 POSTO NVC
a10883,2021-08-30,VE,Supermercado,78.22,Compra 30/08 08:58 SUPERMERCADO GONZAGA
a10884,2021-08-30,VE,Farmacia,52.9,Compra 28/08 10:19 FARMACIA SANTA MARIA
a10885,2021-08-30,VN,Compra extra,42,Compra 28/08 16:33 JOSE ERALDO
a10901,2021-09-05,FN,Assinatura_App,32.9,NETFLIX SAO PAULO BRA
a10902,2021-09-05,FE,Tarifa bancaria,24.25,ANUIDADE DIFERENCIADA TIT-PARC 06/12 BR
a10903,2021-09-05,FN,Assinatura_App,20.9,DL *GOOGLE YouTube SAO PAULO BRA
a10904,2021-09-05,VN,Compra extra,25,LOJAS AMERICA PARC 09/12 RECIFE BR
a10905,2021-09-05,VN,Compra extra,74.72,Amazon-Market PARC 03/04 SAO PAULO BR
a10906,2021-09-05,VE,Veiculares,296.53,AzulAUTO * PARC 02/04 RIO DE JANEIBR
a10907,2021-09-05,VN,Compra extra,50.74,LOJAS AMERICA PARC 10/12 RECIFE BR
a10908,2021-09-05,FE,Investimento,39.8,NAGEM INFORMA PARC 01/05 RECIFE BR
a10909,2021-09-05,FE,Investimento,49.8,NAGEM INFORMA PARC 01/05 RECIFE BR
a10910,2021-09-05,VN,Compra extra,130.48,LOJAO DO PETR PARC 01/02 RECIFE BR
a10915,2021-09-01,VN,Saques,600,Saque no TAA 01/09 09:11 SAA-CARPINA
a10918,2021-09-01,VE,Outros pagtos,1200,Transferência enviada - ERICKSON MOURA
a10919,2021-09-02,FE,Condominio,150,Pagto CONDOMINIO DO VALE JACARANDA
a10920,2021-09-02,FE,Condominio,275,Pagto CONDOMINIO DO EDIFICIO BELA VISTA
a10922,2021-09-02,FE,Convenio,45.8,Pagto ROSA MASTER LTDA
a10930,2021-09-02,VE,Supermercado,635.63,Compra 02/09 10:02 CARPINA NOVO ATACAR
a10937,2021-09-08,VN,Restaurante,26.9,Compra 08/09 12:41 CAPILE
a10939,2021-09-09,FE,Convenio,454.41,Pagto GEAP AUTOGESTAO EM SAUDE
a10940,2021-09-09,VE,Estacionamento,9.5,Compra 09/09 10:49 PLAZA CASA FORTE
a10941,2021-09-09,VN,Restaurante,32.9,Compra 09/09 12:21 CAPILE
a10942,2021-09-09,VN,Saques,100,Banco 24 Horas 09/09 10:41 SHOP PLAZA III
a10945,2021-09-13,VN,Restaurante,61,Compra 13/09 13:35 NATURALLE 1
a10946,2021-09-13,VE,Supermercado,65.97,Compra 13/09 13:47 VERDE BLUE
a10947,2021-09-14,VN,Compra extra,20,Compra 14/09 09:56 PAG*FloriculturaPark
a10948,2021-09-15,VE,Estacionamento,11,Compra 15/09 11:59 RECPARK ESTACIONAMEN
a10949,2021-09-15,VE,Estacionamento,9.5,Compra 15/09 14:37 TACARUNA PARKING
a10950,2021-09-15,VE,Gasolina,150,Compra 15/09 17:26 POSTO NVC
a10951,2021-09-15,VE,Padaria,33,Compra 15/09 14:16 PAG*Deltaexpresso
a10952,2021-09-15,VN,Restaurante,116.05,Compra 15/09 12:56 TAPA DE CUADRIL
a10953,2021-09-16,VN,Entretenimento,25.4,Compra 16/09 14:04 FAACA BOTECO
a10954,2021-09-16,VE,Estacionamento,9.5,Compra 16/09 14:36 PLAZA CASA FORTE
a10955,2021-09-16,VE,Padaria,14.9,Compra 16/09 07:27 ROSARINHO DELICATESS
a10956,2021-09-16,VE,Padaria,20.9,Compra 16/09 10:27 PAO DOIDO
a10957,2021-09-16,VE,Padaria,10,Compra 16/09 10:49 PAO DOIDO
a10958,2021-09-16,VE,Padaria,8,Compra 16/09 14:14 PAG*DeltaExpPlaza3
a10959,2021-09-16,VE,Padaria,8,Compra 16/09 14:19 PAG*DeltaExpPlaza3
a10960,2021-09-16,VN,Compra extra,35,Compra 16/09 14:50 ARMAZEM 4 CANTOS
a10961,2021-09-16,VN,Saques,250,Banco 24 Horas 16/09 14:07 SHOP PLAZA VII
a10962,2021-09-17,VE,Padaria,30,Compra 17/09 13:59 PAG*SorvetesDe
a10964,2021-09-20,VE,Gasolina,100,Compra 20/09 16:52 POSTO GN ROSARINHO
a10965,2021-09-20,VE,Padaria,28.4,Compra 20/09 16:40 CONFRARIA DO CROISSA
a10966,2021-09-20,VE,Padaria,83.51,Compra 18/09 20:22 ONLY PIZZA
a10967,2021-09-20,VN,Restaurante,56.98,Compra 19/09 20:42 TEMPRANILO REFEICOES
a10968,2021-09-20,VN,Restaurante,78.7,Compra 20/09 15:13 RECIFE ATLANTICO
a10969,2021-09-20,VN,Restaurante,150,Compra 18/09 13:45 O PEIXE
a10970,2021-09-20,VN,Restaurante,37.99,Compra 19/09 08:59 ACACIO COVENIENCIA
a10973,2021-09-22,VE,Supermercado,64.09,Compra 22/09 10:03 SUPERMERCADO GONZAGA
a10974,2021-09-24,VE,Supermercado,226.36,Compra 24/09 10:09 KI GRANJA
a10975,2021-09-27,VE,Gasolina,150,Compra 27/09 13:20 POSTO ESPINHEIRO
